occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,cluster,cluster_label,pca_1,pca_2
      Chief executives,11-1011,309.4,322.7,13.3,4.3,206420.0,Bachelor's degree,22.2,0.015,Chief executives,Low,11,Management,4.0,0.8972714314803502,0.6666666666666666,0.7819690490735084,False,Growing,1.0,Low Risk / High Skill,5.0761576167686915,1.9375018341517105
      General and operations managers,11-1021,3712.9,3876.8,164.0,4.4,102950.0,Bachelor's degree,308.7,0.16,General and operations managers,Low,11,Management,4.0,0.3705457137039299,0.6666666666666666,0.5186061901852983,False,Growing,1.0,Low Risk / High Skill,2.472871125818577,0.10697985797119529
      Advertising and promotions managers,11-2011,27.0,26.4,-0.6,-2.2,126960.0,Bachelor's degree,2.1,0.039,Advertising and promotions managers,Low,11,Management,4.0,0.492771329668092,0.6666666666666666,0.5797189981673794,False,Declining,1.0,Low Risk / High Skill,3.1815457596678005,0.33738263847567795
        Marketing managers,11-2021,407.0,433.7,26.7,6.6,161030.0,Bachelor's degree,34.3,0.014,Marketing managers,Low,11,Management,4.0,0.6662085115047852,0.6666666666666666,0.6664375890857259,False,Growing,1.0,Low Risk / High Skill,4.011508613889396,0.9907347964085123
        Sales managers,11-2022,619.5,648.5,29.0,4.7,138060.0,Bachelor's degree,49.0,0.013,Sales managers,Low,11,Management,4.0,0.5492771329668092,0.6666666666666666,0.6079718998167379,False,Growing,1.0,Low Risk / High Skill,3.4733252201761764,0.5105161408250274
      Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,171200.0,Bachelor's degree,55.6,0.035,Computer and information systems managers,Low,11,Management,4.0,0.7179800447973936,0.6666666666666666,0.6923233557320301,False,Growing,1.0,Low Risk / High Skill,4.225176980519041,1.249093465721591
      Financial managers,11-3031,868.6,997.4,128.8,14.8,161700.0,Bachelor's degree,74.6,0.069,Financial managers,Low,11,Management,4.0,0.6696192221543474,0.6666666666666666,0.668142944410507,False,Growing,1.0,Low Risk / High Skill,3.961390300149406,1.1270556266746634
      Industrial production managers,11-3051,241.9,246.5,4.6,1.9,121440.0,Bachelor's degree,17.1,0.03,Industrial production managers,Low,11,Management,4.0,0.4646711464060273,0.6666666666666666,0.5656689065363469,False,Growing,1.0,Low Risk / High Skill,3.06270097986641,0.20248877811530988
      Purchasing managers,11-3061,83.5,86.1,2.6,3.1,139510.0,Bachelor's degree,6.4,0.03,Purchasing managers,Low,11,Management,4.0,0.556658521686011,0.6666666666666666,0.6116625941763388,False,Growing,1.0,Low Risk / High Skill,3.4870200502335384,0.5785159532101376
"      Transportation, storage, and distribution managers",11-3071,216.7,229.8,13.1,6.1,102010.0,High school diploma or equivalent,18.5,0.59,"Transportation, storage, and distribution managers",Medium,11,Management,1.0,0.3657605375687233,0.1666666666666666,0.2662136021176949,False,Growing,0.0,Low Risk / Stable,0.3113761014553521,0.7964376740271417
      Compensation and benefits managers,11-3111,20.9,20.9,0.0,0.2,140360.0,Bachelor's degree,1.5,0.96,Compensation and benefits managers,High,11,Management,4.0,0.5609855426593362,0.6666666666666666,0.6138261046630014,False,Growing,1.0,Low Risk / High Skill,2.3934953025975716,2.665512906814601
      Human resources managers,11-3121,221.9,233.0,11.1,5.0,140030.0,Bachelor's degree,17.9,0.0055,Human resources managers,Low,11,Management,4.0,0.559305640399104,0.6666666666666666,0.6129861535328853,False,Growing,1.0,Low Risk / High Skill,3.5285644002058443,0.5348228274020315
      Training and development managers,11-3131,46.4,49.2,2.7,5.8,127090.0,Bachelor's degree,3.8,0.0063,Training and development managers,Low,11,Management,4.0,0.4934331093463653,0.6666666666666666,0.5800498880065159,False,Growing,1.0,Low Risk / High Skill,3.2237499636757567,0.2673282988931902
